applied_row_week,WALCL,WDTGAL,RRPONTSYD,net_liquidity,growth_26w_log,growth_13w_smooth,p_raw,p_applied,p_raw_source_week
2017-11-24,4450.615,151.783,51.634,4247.197999999999,0.029715284703004385,0.010143289296465886,41.15384615384615,41.92307692307692,2017-11-17
2017-12-01,4438.592,178.685,67.019,4192.887999999999,0.04362467544964258,0.011926719968629528,42.30769230769231,41.15384615384615,2017-11-24
2017-12-08,4437.148,122.127,76.368,4238.652999999999,0.022935196825871727,0.012086572710492249,42.69230769230769,42.30769230769231,2017-12-01
2017-12-15,4452.726,64.734,143.392,4244.599999999999,0.022714689651727103,0.012880270085518935,43.07692307692308,42.69230769230769,2017-12-08
2017-12-22,4447.47,170.817,127.582,4149.071,0.024078193921455403,0.015354891439547417,45.0,43.07692307692308,2017-12-15
2017-12-29,4448.68,186.486,147.749,4114.445000000001,0.027696972906419606,0.018714883621637278,48.46153846153846,45.0,2017-12-22
2018-01-05,4443.718,169.957,131.622,4142.138999999999,0.019487868474430278,0.0218728925927513,49.61538461538461,48.46153846153846,2017-12-29
2018-01-12,4446.062,198.573,57.954,4189.535,0.015433066911851014,0.0246197789577143,50.38461538461539,49.61538461538461,2018-01-05
2018-01-19,4439.145,256.72,20.548,4161.877,0.004572562501076825,0.024619791424042695,50.38461538461539,50.38461538461539,2018-01-12
2018-01-26,4441.317,275.963,36.371,4128.983,-0.011906602136836534,0.022079789780729928,49.61538461538461,50.38461538461539,2018-01-19
2018-02-02,4419.225,275.794,65.797,4077.6340000000005,-0.02529779004815695,0.01816530601566752,48.07692307692308,49.61538461538461,2018-01-26
2018-02-09,4420.745,202.221,48.12,4170.4039999999995,-0.013143615881959963,0.0148313693367976,44.23076923076923,48.07692307692308,2018-02-02
2018-02-16,4434.863,180.845,38.518,4215.5,-0.013782416461971456,0.011240622062811841,40.76923076923077,44.23076923076923,2018-02-09
2018-02-23,4411.66,208.817,45.171,4157.672,-0.016327592448299448,0.007698862281942316,37.30769230769231,40.76923076923077,2018-02-16
2018-03-02,4393.401,199.39,44.51,4149.500999999999,-0.021432956099713255,0.00269442908583802,34.23076923076923,37.30769230769231,2018-02-23
2018-03-09,4396.097,187.515,14.295,4194.286999999999,-0.017816458587746782,-0.00044031363828648043,31.53846153846154,34.23076923076923,2018-03-02
2018-03-16,4407.258,236.16,4.97,4166.128,-0.025161979699782358,-0.004123134357633362,28.076923076923077,31.53846153846154,2018-03-09
2018-03-23,4401.222,298.973,20.586,4081.663,-0.014033542518252767,-0.0070548063914570676,26.53846153846154,28.076923076923077,2018-03-16
2018-03-30,4392.198,300.355,17.898,4073.945,-0.0015878617535945402,-0.009307485980688925,23.846153846153847,26.53846153846154,2018-03-23
2018-04-06,4386.104,300.604,4.57,4080.9300000000003,-0.01124159696794096,-0.011671291014717481,21.923076923076923,23.846153846153847,2018-03-30
2018-04-13,4383.684,287.804,2.361,4093.5190000000002,-0.01954240692956283,-0.014361712079441622,19.615384615384617,21.923076923076923,2018-04-06
2018-04-20,4385.903,350.943,14.021,4020.939,-0.03211322332214767,-0.017183695604305046,18.076923076923077,19.615384615384617,2018-04-13
2018-04-27,4372.886,403.067,3.57,3966.2490000000003,-0.048647654016933446,-0.0200099303643125,15.76923076923077,18.076923076923077,2018-04-20
2018-05-04,4356.129,384.961,6.52,3964.6479999999997,-0.054557381589266894,-0.02226066817516711,13.846153846153847,15.76923076923077,2018-04-27
2018-05-11,4358.207,338.377,2.72,4017.1100000000006,-0.050117766591248995,-0.025104833614343194,11.538461538461538,13.846153846153847,2018-05-04
2018-05-18,4337.609,327.748,2.545,4007.3160000000003,-0.062340654330882136,-0.028840082681182475,8.076923076923077,11.538461538461538,2018-05-11
2018-05-25,4337.301,312.169,2.929,4022.2030000000004,-0.054429708910177656,-0.031771014716711565,7.6923076923076925,8.076923076923077,2018-05-18
2018-06-01,4327.519,332.712,3.92,3990.887,-0.0493762446866483,-0.033920498454168106,7.3076923076923075,7.6923076923076925,2018-05-25
2018-06-08,4319.191,289.454,16.772,4012.9649999999997,-0.05471516049875899,-0.03675886013963059,7.3076923076923075,7.3076923076923075,2018-06-01
2018-06-15,4324.906,282.968,3.025,4038.913,-0.049671990455261494,-0.03864424558235975,6.538461538461538,7.3076923076923075,2018-06-08
2018-06-22,4315.896,380.09,0.32,3935.4859999999994,-0.052850072529985005,-0.04163013250633915,6.538461538461538,6.538461538461538,2018-06-15
2018-06-29,4305.491,362.175,20.68,3922.636,-0.04774007582549331,-0.04518030281956213,6.153846153846154,6.538461538461538,2018-06-22
2018-07-06,4289.764,325.543,4.852,3959.369,-0.04512765194209122,-0.04778692243295831,5.384615384615385,6.153846153846154,2018-06-29
2018-07-13,4291.201,316.434,1.23,3973.537,-0.05293311921049899,-0.05035543876226108,4.230769230769231,5.384615384615385,2018-07-06
2018-07-20,4291.615,335.801,6.021,3949.7929999999997,-0.052303001958723894,-0.05190849865738234,3.8461538461538463,4.230769230769231,2018-07-13
2018-07-27,4277.681,338.978,0.72,3937.9829999999997,-0.04736246638033398,-0.051809638069951605,4.230769230769231,3.8461538461538463,2018-07-20
2018-08-03,4255.653,310.204,0.795,3944.654,-0.03315567375257364,-0.05016335285174444,5.384615384615385,4.230769230769231,2018-07-27
2018-08-10,4258.03,311.69,1.659,3944.6809999999996,-0.05564482443401085,-0.0505885111473415,5.0,5.384615384615385,2018-08-03
2018-08-17,4228.924,318.117,0.315,3910.4919999999997,-0.07510501109735461,-0.05157038474476246,4.615384615384615,5.0,2018-08-10
2018-08-24,4228.818,334.992,1.126,3892.7,-0.06585229797872995,-0.05244904544234341,3.076923076923077,4.615384615384615,2018-08-17
2018-08-31,4218.914,345.255,0.84,3872.8189999999995,-0.06900542040675936,-0.0539589820361981,2.6923076923076925,3.076923076923077,2018-08-24
2018-09-07,4208.496,324.437,0.01,3884.049,-0.07684519502102648,-0.05566129238406484,1.9230769230769231,2.6923076923076925,2018-08-31
2018-09-14,4210.812,297.697,1.315,3911.7999999999997,-0.06298944116148587,-0.05668571166915902,1.5384615384615385,1.9230769230769231,2018-09-07
2018-09-21,4208.059,399.519,8.915,3799.625,-0.07160212575756392,-0.05812817730204971,1.5384615384615385,1.5384615384615385,2018-09-14
2018-09-28,4192.909,367.243,5.625,3820.0409999999997,-0.06435066192284714,-0.05940591469415384,0.7692307692307693,1.5384615384615385,2018-09-21
2018-10-05,4174.704,350.281,2.954,3821.4689999999996,-0.06568999994790543,-0.06098763377152417,0.0,0.7692307692307693,2018-09-28
2018-10-12,4176.906,308.869,2.39,3865.647,-0.05727592355753902,-0.0613216956443734,0.0,0.0,2018-10-05
2018-10-19,4175.446,360.638,0.174,3814.634,-0.05267073440070212,-0.0613499827552948,0.0,0.0,2018-10-12
2018-10-26,4173.07,360.681,6.444,3805.9449999999997,-0.041256493885421366,-0.06088029256337845,1.1538461538461537,0.0,2018-10-19
2018-11-02,4139.731,366.596,4.815,3768.3199999999997,-0.05078779555078915,-0.06223660962477964,0.0,1.1538461538461537,2018-10-26
2018-11-09,4141.936,316.157,1.875,3823.9039999999995,-0.04929084835031897,-0.061747842233726424,0.38461538461538464,0.0,2018-11-02
2018-11-16,4145.892,328.686,0.66,3816.546,-0.048775865424251594,-0.05972252333579542,3.076923076923077,0.38461538461538464,2018-11-09
2018-11-23,4106.198,317.331,16.205,3772.6620000000003,-0.06404890939476646,-0.059583801137029,3.4615384615384617,3.076923076923077,2018-11-16
2018-11-30,4097.17,332.336,1.464,3763.37,-0.058698679378403125,-0.058790974904078516,4.230769230769231,3.4615384615384617,2018-11-23
2018-12-07,4086.044,328.613,2.21,3755.221,-0.06638323124771814,-0.05798620845997788,5.769230769230769,4.230769230769231,2018-11-30
2018-12-14,4088.314,322.663,0.461,3765.19,-0.07017727157815386,-0.05853911849202926,5.384615384615385,5.769230769230769,2018-12-07
2018-12-21,4084.274,396.293,5.982,3681.999,-0.06657857001224761,-0.05815269112700493,5.769230769230769,5.384615384615385,2018-12-14
2018-12-28,4075.636,368.236,1.005,3706.395,-0.056704170687977874,-0.05756449949355345,6.923076923076923,5.769230769230769,2018-12-21
2019-01-04,4058.378,382.616,19.481,3656.281,-0.07963815854096715,-0.058637434769942806,5.0,6.923076923076923,2018-12-28
2019-01-11,4056.563,349.443,2.537,3704.583,-0.07008592823822149,-0.059622819745379925,3.4615384615384617,5.0,2019-01-04
2019-01-18,4050.044,396.414,1.316,3652.3140000000003,-0.0783022331551412,-0.0615944734957214,0.7692307692307693,3.4615384615384617,2019-01-11
2019-01-25,4047.052,402.227,11.415,3633.4100000000003,-0.08049706203367929,-0.06461297873789508,0.0,0.7692307692307693,2019-01-18
2019-02-01,4039.678,411.384,0.99,3627.304,-0.0838715718803712,-0.06715788460940139,0.0,0.0,2019-01-25
2019-02-08,4026.35,353.896,1.926,3670.528,-0.07203256824979234,-0.06890724767859165,0.0,0.0,2019-02-01
2019-02-15,4028.431,375.119,1.697,3651.615,-0.06849366179452028,-0.0704240012455354,0.0,0.0,2019-02-08
2019-02-22,3981.42,331.003,2.275,3648.142,-0.06488500737358832,-0.07048831647467553,0.0,0.0,2019-02-15
2019-03-01,3974.59,266.024,1.915,3706.6510000000003,-0.043853892115778184,-0.06934640976216591,0.7692307692307693,0.0,2019-02-22
2019-03-08,3969.134,213.611,2.115,3753.4080000000004,-0.03421393893581028,-0.06687184881509609,1.9230769230769231,0.7692307692307693,2019-03-01
2019-03-15,3971.559,238.381,0.016,3733.1620000000003,-0.04674203039859329,-0.06506913795512989,2.3076923076923075,1.9230769230769231,2019-03-08
2019-03-22,3962.748,314.749,0.617,3647.3819999999996,-0.04089272768599687,-0.06309330393003368,3.076923076923077,2.3076923076923075,2019-03-15
2019-03-29,3955.617,295.593,0.166,3659.858,-0.04283680669876624,-0.06202658362317125,3.8461538461538463,3.076923076923077,2019-03-22
2019-04-05,3935.509,270.47,0.016,3665.0229999999997,-0.04180029277126021,-0.05911597856396303,8.846153846153847,3.8461538461538463,2019-03-29
2019-04-12,3936.784,245.664,2.731,3688.3889999999997,-0.04693929041543638,-0.057335467962210326,12.692307692307692,8.846153846153847,2019-04-05
2019-04-19,3931.827,369.365,0.015,3562.4470000000006,-0.06839705475261068,-0.05657353116201566,13.461538461538462,12.692307692307692,2019-04-12
2019-04-26,3928.273,398.916,9.515,3519.842,-0.07814821566354446,-0.05639285067200529,13.846153846153847,13.461538461538462,2019-04-19
2019-05-03,3889.691,368.764,0.027,3520.8999999999996,-0.0679126400509937,-0.05516524053128395,15.384615384615385,13.846153846153847,2019-04-26
2019-05-10,3892.216,344.461,0.021,3547.734,-0.07496280044981955,-0.055390643008209124,15.384615384615385,15.384615384615385,2019-05-03
2019-05-17,3864.749,294.969,0.46,3569.3199999999997,-0.06697072365364946,-0.05527349392044983,15.76923076923077,15.384615384615385,2019-05-10
2019-05-24,3860.435,264.581,3.751,3592.1029999999996,-0.049043028221995244,-0.05405488013955805,16.53846153846154,15.76923076923077,2019-05-17
2019-05-31,3851.444,249.011,2.226,3600.207,-0.044323488772512444,-0.054091002959306834,16.53846153846154,16.53846153846154,2019-05-24
2019-06-07,3847.645,207.647,2.255,3637.743,-0.031783703954378975,-0.053904061806889045,18.076923076923077,16.53846153846154,2019-05-31
2019-06-14,3849.955,173.062,1.705,3675.188,-0.024194036967050372,-0.05216960077369344,19.615384615384617,18.076923076923077,2019-06-07
2019-06-21,3844.016,258.641,22.357,3563.018,-0.03284787268584751,-0.05155076577368194,21.53846153846154,19.615384615384617,2019-06-14
2019-06-28,3826.817,240.909,7.784,3578.124,-0.035221065382930544,-0.050964939518617663,21.923076923076923,21.53846153846154,2019-06-21
2019-07-05,3813.198,220.911,6.849,3585.4379999999996,-0.019565868273610516,-0.04925459917264462,24.23076923076923,21.923076923076923,2019-06-28
2019-07-12,3815.038,195.226,6.252,3613.56,-0.024877265803254712,-0.04755752035632295,25.76923076923077,24.23076923076923,2019-07-05
2019-07-19,3808.11,206.203,1.96,3599.947,-0.01444181618993557,-0.04340711738996332,27.307692307692307,25.76923076923077,2019-07-12
2019-07-26,3803.436,178.227,8.255,3616.954,-0.004539366094577321,-0.03774489819235047,28.846153846153847,27.307692307692307,2019-07-19
2019-08-02,3779.102,176.662,7.367,3595.073,-0.008925375666791757,-0.03320741631664262,31.153846153846153,28.846153846153847,2019-07-26
2019-08-09,3781.543,133.077,3.622,3644.8440000000005,-0.007021954737269431,-0.027981197415677225,33.07692307692308,31.153846153846153,2019-08-02
2019-08-16,3786.018,130.981,2.744,3652.293,0.00018565403670128082,-0.022815322208727173,38.84615384615385,33.07692307692308,2019-08-09
2019-08-23,3764.866,131.447,15.153,3618.266,-0.008223091340083298,-0.01967532706396471,42.69230769230769,38.84615384615385,2019-08-16
2019-08-30,3759.946,150.146,4.255,3605.5449999999996,-0.02765583529798902,-0.018393199873616758,44.23076923076923,42.69230769230769,2019-08-23
2019-09-06,3761.508,174.779,1.425,3585.3039999999996,-0.04582095904869122,-0.01947298872702539,43.46153846153846,44.23076923076923,2019-08-30
2019-09-13,3769.673,183.581,3.612,3582.4799999999996,-0.041200297711730255,-0.020781162630462306,40.76923076923077,43.46153846153846,2019-09-06
2019-09-20,3844.695,303.057,18.91,3522.728,-0.03477396051363271,-0.020929323232599627,40.76923076923077,40.76923076923077,2019-09-13
2019-09-27,3857.715,305.81,0.133,3551.7720000000004,-0.02997771496589219,-0.02052598858513514,41.92307692307692,40.76923076923077,2019-09-20
2019-10-04,3945.831,335.185,3.054,3607.592,-0.015794097132522344,-0.020235852343512974,42.69230769230769,41.92307692307692,2019-09-27
2019-10-11,3949.955,297.389,1.469,3651.0969999999998,-0.010162106971324168,-0.019103917048749083,45.76923076923077,42.69230769230769,2019-10-04
2019-10-18,3966.471,361.497,1.803,3603.1710000000003,0.011366622798250025,-0.017118652511196344,48.07692307692308,45.76923076923077,2019-10-11
2019-10-25,3968.7,375.17,18.29,3575.24,0.015616204520847225,-0.015568224002317534,50.0,48.07692307692308,2019-10-18
2019-11-01,4019.823,400.616,0.196,3619.011,0.02748414534350199,-0.012767491616910322,52.30769230769231,50.0,2019-10-25
2019-11-08,4039.443,378.184,1.65,3659.609,0.031047221283687976,-0.00983909346145206,55.38461538461539,52.30769230769231,2019-11-01
2019-11-15,4047.882,370.185,1.762,3675.935,0.029432420615599822,-0.007589342186152174,59.23076923076923,55.38461538461539,2019-11-08
2019-11-22,4030.249,357.551,26.026,3646.672,0.015077145985707778,-0.0057970162380143984,61.15384615384615,59.23076923076923,2019-11-15
2019-11-29,4052.875,358.896,0.506,3693.473,0.025575864011499427,-0.0017022701372845174,65.38461538461539,61.15384615384615,2019-11-22
2019-12-06,4065.696,338.453,0.0,3727.243,0.024305383874349766,0.0036920639337186347,70.0,65.38461538461539,2019-11-29
2019-12-13,4095.491,304.16,0.605,3790.726,0.03095326965898202,0.009242338346850346,74.61538461538461,70.0,2019-12-06
2019-12-20,4137.052,378.573,13.362,3745.1169999999997,0.04984491960323782,0.015751482971225004,82.6923076923077,74.61538461538461,2019-12-13
2019-12-27,4165.591,351.934,4.423,3809.2340000000004,0.06258947833806307,0.022872036302298487,88.07692307692308,82.6923076923077,2019-12-20
2020-01-03,4173.626,403.853,64.087,3705.686,0.032987754483669855,0.02662448642662096,89.61538461538461,88.07692307692308,2019-12-27
2020-01-10,4149.544,350.84,0.876,3797.8279999999995,0.04973588836823966,0.031232024529664334,91.15384615384616,89.61538461538461,2020-01-03
2020-01-17,4175.85,380.802,0.675,3794.373,0.0526000566749231,0.03440382713556227,91.92307692307692,91.15384615384616,2020-01-10
2020-01-24,4145.912,411.708,15.604,3718.6000000000004,0.02771501819660442,0.035334505110620515,91.92307692307692,91.92307692307692,2020-01-17
2020-01-31,4151.63,450.537,0.3,3700.793,0.028982824062951426,0.035449788089039695,91.92307692307692,91.92307692307692,2020-01-24
2020-02-07,4166.707,416.585,4.112,3746.01,0.027377707341645657,0.03516751778580567,91.15384615384616,91.92307692307692,2020-01-31
2020-02-14,4182.689,404.341,0.309,3778.039,0.033849902422798145,0.03550732407866708,91.92307692307692,91.15384615384616,2020-02-07
2020-02-21,4171.57,421.051,0.095,3750.424,0.03587399470440933,0.037107081672413354,92.3076923076923,91.92307692307692,2020-02-14
2020-02-28,4158.637,387.615,2.3,3768.7219999999998,0.04426301371798758,0.03854455472675859,92.3076923076923,92.3076923076923,2020-02-21
2020-03-06,4241.507,381.302,5.025,3855.1799999999994,0.07257443030729487,0.04225755829852361,93.07692307692308,92.3076923076923,2020-02-28
2020-03-13,4311.911,372.337,1.325,3938.2490000000003,0.09468091027306408,0.047159684499606835,93.84615384615384,93.07692307692308,2020-03-06
2020-03-20,4668.212,401.354,0.477,4266.381,0.19153023743842432,0.058058555102313496,100.0,93.84615384615384,2020-03-13
2020-03-27,5254.278,384.89,97.411,4771.977,0.29531405056147203,0.07596044527334496,100.0,100.0,2020-03-20
2020-04-03,5811.607,506.933,207.828,5096.846,0.3455814032839618,0.1000061105656751,100.0,100.0,2020-03-27
2020-04-10,6083.141,827.178,53.483,5202.48,0.3541077645885214,0.12341933181338907,100.0,100.0,2020-04-03
2020-04-17,6367.887,856.155,3.15,5508.582,0.424492948682957,0.15202647735246863,100.0,100.0,2020-04-10
2020-04-24,6573.136,949.999,10.825,5612.312000000001,0.45093044908831076,0.18458151049798446,100.0,100.0,2020-04-17
2020-05-01,6655.929,1076.232,1.45,5578.247,0.43267378523859273,0.2156346613576492,100.0,100.0,2020-04-24
2020-05-08,6721.42,1143.268,1.175,5576.977,0.4212905622124786,0.24593565019386712,100.0,100.0,2020-05-01
2020-05-15,6934.227,1138.172,13.825,5782.2300000000005,0.4529818993525418,0.2781765730346166,100.0,100.0,2020-05-08
2020-05-22,7037.258,1193.297,9.726,5834.235,0.4699281808974897,0.31156535658793055,100.0,100.0,2020-05-15
2020-05-29,7097.316,1326.897,4.326,5766.093,0.44542752029789495,0.34242416478638493,100.0,100.0,2020-05-22
2020-06-05,7165.217,1431.462,0.013,5733.741999999999,0.43069955341645694,0.36997225117939736,100.0,100.0,2020-05-29
2020-06-12,7168.936,1504.569,0.012,5664.3550000000005,0.4016354735030781,0.39358414065862923,100.0,100.0,2020-06-05
2020-06-19,7094.69,1565.306,0.001,5529.383,0.38962337793588403,0.4088220745430492,100.0,100.0,2020-06-12
2020-06-26,7082.302,1586.573,0.001,5495.727999999999,0.36654294410016836,0.414301220199872,100.0,100.0,2020-06-19
2020-07-03,7009.04,1656.747,0.002,5352.290999999999,0.36765629674049816,0.4159992889272979,100.0,100.0,2020-06-26
2020-07-10,6920.716,1624.404,0.001,5296.311,0.3325812161040477,0.41434340058233843,99.61538461538461,100.0,2020-07-03
2020-07-17,6958.604,1740.455,0.001,5218.148,0.31862336986352024,0.40619958682699703,98.46153846153847,99.61538461538461,2020-07-10
2020-07-24,6964.755,1777.18,0.0,5187.575,0.3329190899198031,0.3971217899678811,98.07692307692308,98.46153846153847,2020-07-17
2020-07-31,6949.032,1792.434,0.001,5156.597,0.33172974479588524,0.3893568637799805,97.3076923076923,98.07692307692308,2020-07-24
2020-08-07,6945.237,1706.637,0.0,5238.6,0.33536301353019793,0.382747052342882,96.92307692307692,97.3076923076923,2020-07-31
2020-08-14,6957.277,1635.143,0.103,5322.031,0.34264990546818047,0.37425997589023885,96.53846153846153,96.92307692307692,2020-08-07
2020-08-21,7010.637,1636.393,0.112,5374.132,0.35972817234354987,0.36578305215532037,95.76923076923077,96.53846153846153,2020-08-14
2020-08-28,6990.418,1607.449,0.009,5382.959999999999,0.3565024568038546,0.3589426626557788,95.38461538461539,95.76923076923077,2020-08-21
2020-09-04,7017.492,1651.823,0.014,5365.655,0.33060075770319214,0.35124275529322,95.0,95.38461538461539,2020-08-28
2020-09-11,7010.614,1570.533,0.001,5440.08,0.32305755835805283,0.3451983002820642,94.61538461538461,95.0,2020-09-04
2020-09-18,7064.475,1692.809,0.055,5371.611,0.2303619366387699,0.33294742018228624,93.84615384615384,94.61538461538461,2020-09-11
2020-09-25,7093.161,1661.732,0.001,5431.428,0.12944139835518642,0.3147088397403645,93.46153846153847,93.84615384615384,2020-09-18
2020-10-02,7056.129,1781.679,0.85,5273.599999999999,0.03409132424278878,0.2890499957020792,92.6923076923077,93.46153846153847,2020-09-25
2020-10-09,7074.649,1687.434,0.011,5387.204,0.03489107695249909,0.2661507542288831,91.92307692307692,92.6923076923077,2020-10-02
2020-10-16,7151.426,1647.937,0.0,5503.4890000000005,-0.0009249850210971839,0.241570111545451,91.15384615384616,91.92307692307692,2020-10-09
2020-10-23,7177.265,1699.497,0.0,5477.768,-0.024265037127130455,0.21409440946491765,90.38461538461539,91.15384615384616,2020-10-16
2020-10-30,7146.306,1653.039,0.005,5493.262,-0.015352319037245354,0.18739578917006144,90.0,90.38461538461539,2020-10-23
2020-11-06,7157.479,1618.568,0.0,5538.911,-0.006848962278277564,0.16107179103094799,89.23076923076923,90.0,2020-10-30
2020-11-13,7175.417,1570.768,0.0,5604.649,-0.031192989521417674,0.13231464526251732,88.46153846153847,89.23076923076923,2020-11-06
2020-11-20,7243.08,1546.924,0.103,5696.053,-0.023969672903331345,0.10279942639737262,87.6923076923077,88.46153846153847,2020-11-13
2020-11-27,7216.48,1484.036,0.0,5732.4439999999995,-0.005852761277943431,0.07492594808338816,86.53846153846153,87.6923076923077,2020-11-20
2020-12-04,7222.414,1557.239,0.001,5665.173999999999,-0.01203076275640487,0.04856967727880378,80.0,86.53846153846153,2020-11-27
2020-12-11,7242.658,1502.361,0.003,5740.294000000001,0.013317397550997962,0.024743511062876478,71.92307692307692,80.0,2020-12-04
2020-12-18,7362.592,1615.873,0.026,5746.692999999999,0.03854832285093037,0.00998861769458113,62.69230769230769,71.92307692307692,2020-12-11
2020-12-25,7404.039,1583.308,0.857,5819.874,0.05730754886767947,0.00443986004169598,60.38461538461539,62.69230769230769,2020-12-18
